Name,RUID,Gender,GPA,Permit,Car Manufacturer,License Plate,Credits
Carolyn Jackson,155003118,Female,3.47,Busch,Ford,TAVHRW,10
Carolyn Jones,155003121,Female,3.18,Busch,Toyota,P9IRSL,10
Carolyn Morgan,155003145,Female,3.49,Douglass,Toyota,2CD3CB,10
Carolyn Ogden,155003164,Female,3.19,Livingston,Honda,MBSQQK,10
Carolyn Parsons,155003175,Female,3.34,Busch,Honda,P8US46,10
Carolyn Sanderson,155003182,Female,3.15,Douglass,Ford,CE87XO,10
Carolyn Young,155003192,Female,3.22,Cook,Hyundai,S8K9WM,10
Charles Alsop,155003204,Male,3.38,Busch,Ford,55RGCJ,10
Charles Burgess,155003206,Male,3.09,Cook,Toyota,R5YTPC,10
Charles Clarkson,155003214,Male,3.32,Busch,Honda,5K7BXU,10
Charles Dickens,155003218,Male,3.02,College Avenue,Toyota,L6C580,10
Charles Dowd,155003219,Male,3.32,Busch,Honda,ZP3GK7,10
Charles Ellison,155003232,Male,3.44,Busch,Mazda,G2J1ES,10
Charles Hamilton,155003236,Male,3.36,Busch,Honda,8282NF,10
Charles Hemmings,155003240,Male,3.43,Busch,Ford,ZYBJA5,10
Charles Howard,155003241,Male,3.02,Busch,Volvo,3L7ZRC,10
Charles Miller,155003252,Male,3.5,Busch,Hyundai,5YATK2,10
Charles Roberts,156001263,Male,3.21,Livingston,Ford,OHTNYD,10
Charles Simpson,156001308,Male,3.02,Busch,Ford,F5ZV9L,10
Charles Underwood,156001336,Male,3.23,Livingston,Honda,Z9R6S6,10
Chloe Burgess,156001337,Female,3.11,Busch,Mercedes,WBCALZ,10
Chloe Cameron,156001345,Female,3.01,College Avenue,Audi,ASZ30Z,10
Chloe Ellison,156001353,Female,3.23,College Avenue,Chevrolet,64AWD7,10
Chloe Jones,156001357,Female,3.4,Livingston,Audi,YGVHBQ,10
Chloe Langdon,156001368,Female,3.11,Douglass,Mazda,HJITCU,10
Chloe Metcalfe,156001378,Female,3.12,Livingston,Subaru,7V6CTT,10
Chloe Tucker,156001387,Female,3.28,Douglass,Honda,W9WRIU,10
Chloe Vaughan,156001391,Female,3.07,Busch,Jeep,B8HOW1,10
Chloe Wallace,156001411,Female,3.47,Cook,Chevrolet,3JSZY5,10
Chloe Welch,156001418,Female,3.25,Busch,Chevrolet,TRK72D,10
Christian Alsop,156001427,Male,3.13,Busch,BMW,4B18GX,10
Christian Arnold,156001465,Male,3.25,Livingston,Mazda,CDVWNR,10
Christian Brown,156001470,Male,3.4,Douglass,Chevrolet,10N4ZB,10
Christian Burgess,156001497,Male,3.3,Busch,Honda,3ZRXJE,10
Christian Carr,156001503,Male,3.4,Busch,Mazda,B1LIM1,10
Christian Chapman,156001521,Male,3.21,Cook,Ford,55BHI8,10
Christian Davies,156001523,Male,3.25,Busch,Hyundai,7HKZ76,10
Christian Dowd,156001536,Male,3.29,Busch,Hyundai,PVER2M,10
Christian Duncan,156001537,Male,3.35,Busch,Toyota,HDVUT8,10
Christian Dyer,156001538,Male,3.11,Busch,Ford,ZK7TBF,10
Christian Edmunds,156001544,Male,3.02,Livingston,Hyundai,BUAQYW,10
Christian Greene,156001554,Male,3.31,Livingston,BMW,63TL67,10
Christian Hill,156001558,Male,3.41,Busch,BMW,V5RUSN,10
Christian James,156001580,Male,3.26,Livingston,Toyota,E85EWI,10
Christian Knox,156001591,Male,3.16,Livingston,Jeep,T11ET9,10
Christian Vaughan,156001597,Male,3.01,Cook,Subaru,YBF5MO,10
Christopher Alsop,156001601,Male,3.31,Cook,Mercedes,G449J0,10
Christopher Burgess,156001610,Male,3.43,Busch,Chevrolet,8G8A1R,10
Christopher Campbell,156001613,Male,3.29,College Avenue,Chevrolet,33Q3BE,10
Christopher Clarkson,156001617,Male,3.35,Busch,Honda,1BUNNV,10
Christopher Davies,156001620,Male,3.5,Cook,Honda,50OGYZ,10
Christopher Hudson,156001627,Male,3.28,Busch,BMW,7VULME,10
Christopher Ince,156001631,Male,3.23,Busch,Honda,IQ4NID,10
Christopher MacLeod,156001634,Male,3.12,Livingston,Mazda,ZJ7VU2,10
Christopher McDonald,156001653,Male,3.34,Busch,Lamborghini,QHF5EV,10
Christopher Vaughan,156001663,Male,3.29,Busch,Honda,B9P8VW,10
Christopher Wallace,156001667,Male,3.41,Busch,Ford,0NNQGZ,10
Christopher Welch,156001671,Male,3.32,Busch,Toyota,Q7GCDB,10
Claire Bell,156001686,Female,3.14,Busch,Subaru,BU4BT0,10
Claire Duncan,156001703,Female,3.05,Busch,Toyota,RNFQIT,10
Claire Glover,156001712,Female,3.14,Busch,Mercedes,4GH52R,10
Claire Hamilton,156001724,Female,3.32,Douglass,Toyota,3UD5I6,10
Claire Hudson,156001735,Female,3.45,Busch,Toyota,1TXF3H,10
Claire Parr,156001743,Female,3.19,Busch,Toyota,KQQHLS,10
Claire Poole,156001745,Female,3.08,Busch,Ford,NT07LR,10
Claire Randall,156001746,Female,3.22,Busch,Toyota,M28ARM,10
Claire Stewart,156001775,Female,3.21,Busch,Jeep,ZJQYHM,10
Claire Wilkins,156001792,Female,3.14,Livingston,Volvo,AZHPM9,10
Colin Clark,156001798,Male,3.27,College Avenue,Toyota,55R1XA,10
Colin Clarkson,156001812,Male,3.42,Busch,Toyota,IX6YTD,10
Colin Davidson,156001832,Male,3.36,Douglass,Ford,LEYO2M,10
Colin Dickens,156001843,Male,3.26,Busch,Honda,R2IAEH,10
Colin Hodges,156001869,Male,3.25,Busch,Chevrolet,C11OL5,10
Colin Jones,156001879,Male,3.4,Busch,Jeep,NVWTDF,10
Colin MacLeod,156001883,Male,3.11,Busch,Chevrolet,XLN9AK,10
Colin Marshall,156001888,Male,3.04,Busch,Honda,7EA9K3,10
Colin Martin,156001896,Male,3.11,Livingston,Chevrolet,2ROUVT,10
Colin Newman,156001906,Male,3.15,Livingston,BMW,09FBYA,10
Colin Parsons,156001907,Male,3.27,Busch,Hyundai,DBAWM5,10
Colin Pullman,156001922,Male,3.45,Cook,Hyundai,MYX2NQ,10
Colin Sutherland,156001927,Male,3.21,Livingston,Mazda,3JGEHQ,10
Connor Clark,156001932,Male,3.37,Busch,Ford,6RGDR2,10
Connor Edmunds,156001935,Male,3.23,Busch,Honda,FLW4S7,10
Connor Henderson,156001957,Male,3.17,Busch,Ford,Y8C1K5,10
Connor Hunter,156001961,Male,3.07,Livingston,Toyota,L7NN9S,10
Connor Kerr,156001965,Male,3.38,Busch,Mazda,8SDHR0,10
Connor Mackenzie,156001968,Male,3.34,Busch,Chevrolet,YMHGDT,10
Connor Metcalfe,156001978,Male,3.01,Busch,Hyundai,BXT0A0,10
Connor Mills,156001982,Male,3.21,Busch,Honda,KLZ4NG,10
Connor Pullman,156001993,Male,3.17,Busch,Chevrolet,L8C6ZP,10
Connor Ross,156001996,Male,3.08,Busch,Lamborghini,F1SHDH,10
Connor Russell,156002006,Male,3.33,Busch,Chevrolet,HPRXKB,10
Connor Walsh,156002007,Male,3.09,Cook,Audi,R3O3AZ,10
Connor Wilson,156002013,Male,3.23,Busch,Ford,ERFI7N,10
Dan Allan,156002020,Male,3.3,Cook,Honda,1GOR2J,10
Dan Alsop,156002028,Male,3.43,Busch,Chevrolet,I6GFG2,10
Dan Chapman,156002033,Male,3.43,Busch,Honda,5OFDVB,10
Dan Duncan,156002037,Male,3.05,Cook,Jeep,XMN5EQ,10
Dan Gibson,156002060,Male,3.06,Busch,Ford,Q5B0QL,10
Dan Langdon,156002062,Male,3.17,Cook,Audi,IGYD7K,10
Dan Russell,156002065,Male,3.32,Douglass,Honda,1G0NI8,10
Dan Skinner,156002112,Male,3.16,Douglass,Ford,34ESYB,10
Dan Springer,156002114,Male,3.16,Busch,Hyundai,CSQB1Q,10
Dan Wallace,156002120,Male,3.46,Busch,Ford,EK04AK,10
David Bailey,156002122,Male,3.22,Livingston,Honda,Z72PKJ,10
David Brown,156002151,Male,3.29,Busch,Honda,CLGCUZ,10
David Churchill,156002160,Male,3.5,Busch,Subaru,DYVUD8,10
David Davidson,156002177,Male,3.05,College Avenue,Ford,MOIWKH,10
David Gibson,156002195,Male,3.04,Busch,Hyundai,5F7UCN,10
David Grant,156002198,Male,3.45,Busch,Hyundai,Z9RVXN,10
David Harris,156002205,Male,3.2,Busch,Hyundai,PAW5M8,10
David Metcalfe,156002207,Male,3.09,Livingston,Mazda,VCOQ6O,10
David Parr,156002208,Male,3.34,Cook,Honda,S91CYR,10
David Randall,156002216,Male,3.24,Livingston,Mazda,7OCADB,10
David Roberts,156002223,Male,3.33,Livingston,Hyundai,R991VE,10
David Short,156002250,Male,3.08,Livingston,Lamborghini,61H5E9,10
David Walsh,156002253,Male,3.31,Busch,Mazda,9ZFZ4S,10
David White,156002259,Male,3.28,Livingston,Honda,XESMPA,10
Deirdre Buckland,156002290,Female,3.21,Busch,Subaru,08AP07,10
Deirdre Duncan,156002296,Female,3.34,Busch,Toyota,4W502I,10
Deirdre Fisher,156002301,Female,3.26,Busch,Ford,1EI45I,10
Deirdre Graham,156002327,Female,3,Cook,Ford,4B46NB,10
Deirdre Lewis,156002329,Female,3.5,College Avenue,BMW,L84460,10
Deirdre Lyman,156002333,Female,3.31,Cook,Ford,X7ZLVY,10
Deirdre McDonald,156002336,Female,3.26,Busch,Chevrolet,YKD5PE,10
Deirdre Metcalfe,156002340,Female,3.41,Busch,Mazda,OEBA7K,10
Deirdre Oliver,156002359,Female,3.23,Livingston,Lamborghini,ORGCNS,10
Deirdre Rees,156002362,Female,3.14,Busch,Toyota,6PQY23,10
Deirdre Roberts,156002364,Female,3.42,College Avenue,Toyota,0U5RCO,10
Deirdre White,156002375,Female,3.17,Douglass,Ford,K17CFU,10
Diana Abraham,156002378,Female,3.41,Cook,Ford,J9SWBN,10
Diana Ball,156002399,Female,3.34,Cook,Honda,793YF9,10
Diana Brown,156002404,Female,3.35,Busch,Mercedes,I2SX7L,10
Diana Ferguson,156002408,Female,3.29,Busch,Chevrolet,LHKC2D,10
Diana Hemmings,156002431,Female,3.36,Livingston,Ford,ENYKX0,10
Diana Howard,156002437,Female,3.2,Busch,Hyundai,6QHJ5C,10
Diana Johnston,156002470,Female,3.45,Livingston,Ford,ZBXE1H,10
Diana Lyman,156002474,Female,3.34,Cook,Ford,P1PQLE,10
Diana Mackenzie,156002485,Female,3.29,Livingston,Chevrolet,TBFGSB,10
Diana Metcalfe,156002514,Female,3.06,Busch,Audi,7UI041,10
Diana Quinn,156002527,Female,3.16,Busch,Ford,PAR5G5,10
Diana Reid,156002532,Female,3.07,Livingston,Mercedes,1BDYMO,10
Diana Russell,156002536,Female,3.01,Busch,Honda,Z9TGSN,10
Diana Underwood,156002549,Female,3.48,Busch,Ford,M1NNPZ,10
Diana Welch,156002555,Female,3.34,Busch,BMW,6MKPRO,10
Diane Bower,156002559,Female,3,College Avenue,Honda,KJ0UL1,10
Diane Dyer,156002574,Female,3.36,Busch,Mazda,BREV3B,10
Diane Ellison,156002578,Female,3.26,Busch,Ford,L69EH6,10
Diane Hardacre,156002582,Female,3.28,Busch,Subaru,R6MYUC,10
Diane Newman,156002595,Female,3.02,College Avenue,Audi,I2PE9K,10
Diane Payne,156002597,Female,3.11,Busch,BMW,YF0JSR,10
Diane Peters,156002618,Female,3.49,Douglass,Ford,OOVX9M,10
Diane Sutherland,156002637,Female,3.4,Busch,Mazda,OAU1Y8,10
Diane Thomson,156002643,Female,3.25,Douglass,Ford,F7I99W,10
Diane White,156002651,Female,3.06,Busch,Subaru,M70D4E,10
Diane Wilson,156002662,Female,3.41,Busch,Hyundai,B5ID1J,10
Dominic Arnold,156002675,Male,3.27,Busch,Honda,J90Y7B,10
Dominic Blake,156002723,Male,3.47,Busch,Mazda,QVNWD5,10
Dominic Duncan,156002734,Male,3.01,Douglass,Mazda,2VWGTK,10
Dominic Greene,156002736,Male,3.17,College Avenue,Ford,OSI1TH,10
Dominic King,156002742,Male,3.23,Busch,Audi,X2H0S2,10
Dominic Knox,156002750,Male,3.2,Livingston,Toyota,N5VK2L,10
Dominic MacDonald,156002752,Male,3.02,Busch,Audi,HOPUA4,10
Dominic Manning,156002777,Male,3.42,Busch,Ford,35NRN0,10
Dominic McDonald,156002796,Male,3.28,Livingston,Toyota,8622R0,10
Dominic Murray,156002816,Male,3.19,Busch,Toyota,YSFB3M,10
Dominic Parr,156002826,Male,3.34,Livingston,Hyundai,Z6A7Q9,10
Dominic Peters,156002828,Male,3.37,Busch,Honda,LFLUTB,10
Dominic Powell,156002841,Male,3.26,Busch,Honda,OZJMUG,10
Dominic Rampling,156002843,Male,3.35,Douglass,Lamborghini,2E37N9,10
Dominic Short,156002844,Male,3.12,Douglass,Honda,GHVK9K,10
Dominic Skinner,156002870,Male,3.41,Busch,Honda,6NOCPV,10
Donna Anderson,156002874,Female,3.2,Busch,Chevrolet,3WD8OS,10
Donna Chapman,156002884,Female,3.48,College Avenue,Honda,ZESRDC,10
Donna Churchill,156002896,Female,3.24,Busch,BMW,DINSUN,10
Donna Dickens,156002897,Female,3.39,Busch,Ford,7UT4JK,10
Donna Grant,156002918,Female,3.32,Busch,Subaru,HULZR6,10
Donna Hardacre,156002923,Female,3.01,Busch,Ford,LO9WEQ,10
Donna Howard,156002932,Female,3.14,College Avenue,Hyundai,H9ZBCZ,10
Donna Ince,156002947,Female,3.21,College Avenue,Honda,D6SWF1,10
Donna Kelly,156002955,Female,3.23,Busch,Subaru,58J189,10
Donna Lee,156002974,Female,3.13,Livingston,Mercedes,WWY0GL,10
Donna Lewis,156002983,Female,3.16,Busch,Chevrolet,6F6U61,10
Donna Turner,156003010,Female,3.47,Busch,Lamborghini,1RDMXZ,10
Donna Wilson,156003014,Female,3.14,College Avenue,BMW,BHO9IC,10
Dorothy Anderson,156003015,Female,3.11,Livingston,Honda,AE0BA5,10
Dorothy Black,156003017,Female,3.17,Livingston,Honda,E8O087,10
Dorothy Blake,156003019,Female,3.16,Livingston,Mazda,3U8E82,10
Dorothy Bond,156003022,Female,3.28,Busch,Toyota,5O1Z4O,10
Dorothy Hodges,156003034,Female,3.3,Livingston,Mercedes,TTLXXL,10
Dorothy Hughes,156003038,Female,3.17,Busch,Mazda,KSK9SU,10
Dorothy Hunter,156003042,Female,3.35,Busch,Ford,SNIC4W,10
Dorothy Marshall,156003044,Female,3.43,Cook,Volvo,JPNHZS,10
Dorothy Morgan,156003045,Female,3.08,Cook,Jeep,MAPKRO,10
Dorothy Nash,156003047,Female,3.5,Busch,Mercedes,PPIXU3,10
Dorothy Payne,156003060,Female,3.33,Busch,Ford,OX914O,10
Dorothy Turner,156003073,Female,3.5,Douglass,Ford,JGINHZ,10
Dorothy Wilkins,156003077,Female,3.29,Busch,Mazda,OHA533,10
Dylan Black,156003081,Male,3.34,Busch,Honda,86LO4H,10
Dylan Bower,156003089,Male,3.47,Cook,Honda,P7S2LJ,10
Dylan Johnston,156003090,Male,3.14,Douglass,Hyundai,MG6QU7,10
Dylan May,156003117,Male,3.12,Cook,Audi,7DQIY4,10
Dylan McDonald,156003129,Male,3.28,Livingston,BMW,E4RXN4,10
Dylan Mitchell,156003142,Male,3.48,Busch,Mazda,7WQI6N,10
Dylan Nash,156003146,Male,3.14,Busch,Audi,PGPJAN,10
Dylan Oliver,156003149,Male,3.34,Busch,Ford,6V0OYC,10
Dylan Sharp,156003150,Male,3.4,College Avenue,Hyundai,EZXQDZ,10
Dylan Short,156003159,Male,3.29,Busch,Ford,ZV7QME,10
Dylan Slater,156003163,Male,3.38,Douglass,Ford,547GX1,10
Dylan Springer,156003170,Male,3.32,Busch,Audi,MAGD3I,10
Dylan Taylor,156003179,Male,3.11,Busch,Toyota,3CL129,10
Edward Allan,156003180,Male,3.46,Busch,Toyota,KUAB6Y,10
Edward Berry,156003189,Male,3.14,Busch,Toyota,LRA8OA,10
Edward Black,156003220,Male,3.36,Livingston,Toyota,LJ890E,10
Edward Buckland,156003224,Male,3.42,Busch,Mazda,UVKW1A,10
Edward Butler,156003228,Male,3.09,College Avenue,Ford,5DATPY,10
Edward Coleman,156003231,Male,3.32,Busch,Ford,JQSTYF,10
Edward Dowd,156003235,Male,3.34,Busch,Toyota,L98NLY,10
Edward Glover,156003238,Male,3.47,Livingston,Honda,2LS0SI,10
Edward Mitchell,156003246,Male,3.38,Douglass,Mazda,9I5BQQ,10
Edward Morgan,156003250,Male,3.02,College Avenue,Honda,8DHWKX,10
Edward Payne,157001260,Male,3.37,Busch,Ford,7CVOVD,10
Edward Russell,157001275,Male,3.06,Busch,Ford,HDG487,10
Edward Sutherland,157001279,Male,3.36,Busch,Chevrolet,U2W9NH,10
Edward Taylor,157001291,Male,3.31,Busch,Honda,5VFY13,10
Edward Vaughan,157001294,Male,3.24,Cook,Chevrolet,E9TMUI,10
Edward Walsh,157001304,Male,3.47,Busch,Honda,SIR1V5,10
Edward Wilson,157001319,Male,3.33,Busch,Mercedes,S5FKPH,10
Elizabeth Coleman,157001320,Female,3.09,Livingston,Ford,J14RJR,10
Elizabeth Glover,157001350,Female,3.26,Busch,Volvo,TBJ1SW,10
Elizabeth Greene,157001359,Female,3.28,Busch,Hyundai,FI2UZG,10
Elizabeth Ince,157001361,Female,3.39,Busch,Mazda,00FM58,10
Elizabeth McDonald,157001367,Female,3.25,College Avenue,Hyundai,51KQ18,10
Elizabeth Mitchell,157001369,Female,3.45,Livingston,BMW,HME4OE,10
Elizabeth Paige,157001371,Female,3.06,Busch,Subaru,FVZ03B,10
Elizabeth Paterson,157001373,Female,3.13,Busch,Mercedes,ADIBQK,10
Elizabeth Peake,157001389,Female,3,Busch,Chevrolet,43SH03,10
Elizabeth Reid,157001403,Female,3.1,Livingston,Mercedes,XHQ6PV,10
Elizabeth Stewart,157001416,Female,3.39,Busch,Chevrolet,VGJEMT,10
Elizabeth Wright,157001423,Female,3.07,Cook,Hyundai,S7JDXU,10
Ella Anderson,157001425,Female,3.28,Douglass,Chevrolet,ZQKO7K,10
Ella Campbell,157001431,Female,3.18,Livingston,Mazda,8YC4X7,10
Ella Chapman,157001440,Female,3.32,Busch,Jeep,47EPAF,10
Ella Coleman,157001475,Female,3,Livingston,Ford,DAS559,10
Ella Dyer,157001483,Female,3.26,College Avenue,Hyundai,AMJUR8,10
Ella Hunter,157001527,Female,3.13,Busch,Hyundai,RGSKFM,10
Ella Jones,157001528,Female,3,Busch,Ford,XJEE56,10
Ella Lambert,157001543,Female,3.06,Cook,Toyota,NZABDU,10
Ella Lyman,157001549,Female,3.47,Busch,Ford,9PJWGS,10
Ella Mackay,157001571,Female,3.12,Busch,Ford,9JDAP6,10
Ella MacLeod,157001581,Female,3.02,College Avenue,Audi,XAXEEO,10
Ella Manning,157001582,Female,3.03,Busch,Ford,IV9MT4,10
Ella Paige,157001587,Female,3.44,Cook,Subaru,0YEOZN,10
Ella Parr,157001595,Female,3.01,Douglass,Honda,2M3UVS,10
Ella Piper,157001623,Female,3.12,Livingston,Ford,OZ0GXI,10
Emily Avery,157001640,Female,3.24,Douglass,Ford,VCU66K,10
Emily Ball,157001648,Female,3.4,Douglass,Mercedes,LRTABV,10
Emily Brown,157001659,Female,3.42,Busch,BMW,L6LZ3W,10
Emily Fraser,157001668,Female,3.46,Busch,Ford,U8LB9U,10
Emily Glover,157001674,Female,3.14,Cook,Mazda,YWKFMW,10
Emily Hamilton,157001678,Female,3.1,College Avenue,Honda,8DKN8V,10
Emily Harris,157001691,Female,3.26,Livingston,Volvo,JAQWK0,10
Emily Pullman,157001705,Female,3.13,Douglass,Honda,AZ2PKD,10
Emily Terry,157001717,Female,3.37,Busch,Honda,54OZXN,10
Emily Wright,157001726,Female,3.06,Busch,Honda,9O3D74,10
Emma Alsop,157001727,Female,3.43,Cook,Hyundai,U8KS8O,10
Emma Avery,157001729,Female,3.22,College Avenue,Subaru,7ROTNK,10
Emma Burgess,157001732,Female,3.38,Livingston,Ford,KT2AFE,10
Emma Cameron,157001741,Female,3.34,Busch,Toyota,19TB5N,10
Emma Hudson,157001758,Female,3.12,Douglass,Chevrolet,FP4C6Q,10
Emma Jackson,157001767,Female,3.04,Busch,Subaru,6MTRW2,10
Emma Knox,157001768,Female,3.38,Livingston,Mazda,Z36SSO,10
Emma Lyman,157001769,Female,3.19,Busch,Audi,1HSSC4,10
Emma Mackay,157001778,Female,3.17,Busch,Toyota,T8GA9M,10
Emma Mitchell,157001783,Female,3.1,Busch,Chevrolet,4VN67F,10
Emma Peake,157001789,Female,3.32,Busch,Toyota,CL0TK1,10
Emma Rees,157001797,Female,3.16,Cook,Mercedes,RBU0AZ,10
Emma Ross,157001807,Female,3.06,Busch,Toyota,HIDQS2,10
Emma Sharp,157001816,Female,3.24,Livingston,Jeep,W1KVQG,10
Eric Bailey,157001844,Male,3.26,College Avenue,Subaru,VP5F5G,10
Eric Baker,157001846,Male,3.17,Douglass,Mazda,KGOZIL,10
Eric Bower,157001853,Male,3.15,Busch,Toyota,CU3WCQ,10
Eric Davies,157001857,Male,3.08,Busch,Mazda,2G1DPW,10
Eric Gray,157001859,Male,3.12,Douglass,Volvo,K7PG87,10
Eric MacLeod,157001866,Male,3.45,Busch,Mazda,1CQKPI,10
Eric Mitchell,157001867,Male,3.46,Livingston,Ford,T5GBAV,10
Eric Rampling,157001870,Male,3.27,College Avenue,Ford,RUK2V8,10
Eric Roberts,157001881,Male,3.12,Cook,Ford,9PJV5W,10
Eric Ross,157001887,Male,3.5,Busch,Mazda,MELA37,10
Eric Skinner,157001893,Male,3.09,Livingston,Toyota,5S26JE,10
Eric Springer,157001926,Male,3.28,College Avenue,Ford,0QUJC1,10
Eric Sutherland,157001943,Male,3.4,Busch,Ford,AFOJ71,10
Evan Berry,157001970,Male,3.47,Busch,Toyota,3KA3OW,10
Evan Black,157001976,Male,3.34,Cook,Ford,H8DDQ0,10
Evan Campbell,157001979,Male,3.43,Busch,Honda,B5AVP9,10
Evan Manning,157001994,Male,3.02,Douglass,Mercedes,0BTHT8,10
Evan Martin,157001995,Male,3.08,Busch,Hyundai,6L9CPY,10
Evan Peters,157002000,Male,3.25,Busch,Chevrolet,0WVNQM,10
Evan Sanderson,157002004,Male,3.12,Douglass,Mercedes,2BON4C,10
Evan Slater,157002016,Male,3.14,Busch,Audi,39DPG6,10
Evan Thomson,157002022,Male,2.56,Cook,Toyota,R1BX9S,10
Evan Vaughan,157002031,Male,2.99,Busch,Audi,YV44QX,10
Faith Abraham,157002036,Female,2.77,Busch,Ford,T1CP6D,10
Faith Butler,157002040,Female,2.7,Busch,Hyundai,5RTS4N,10
Faith Cornish,157002048,Female,2.84,Livingston,Toyota,1ZLW8S,10
Faith Ferguson,157002071,Female,2.79,Livingston,Ford,N763OM,10
Faith Grant,157002094,Female,2.72,Busch,Honda,NSX485,10
Faith Jones,157002101,Female,2.81,Busch,Ford,TR8TZQ,10
Faith Lambert,157002118,Female,2.62,Cook,Jeep,EVN5CY,10
Faith Murray,157002125,Female,2.71,Busch,Honda,NFEJVI,10
Faith Randall,157002132,Female,2.73,Busch,Honda,TVZ9KM,10
Faith Rutherford,157002143,Female,2.53,Busch,Ford,TJWRAO,10
Faith Underwood,157002150,Female,2.98,Busch,Chevrolet,W0RI3F,10
Faith Vance,157002155,Female,2.58,Douglass,Toyota,OQ2WTX,10
Felicity Bond,157002157,Female,2.71,Busch,Lamborghini,JZEY1V,10
Felicity Brown,157002170,Female,2.83,Livingston,Ford,XE3CFC,10
Felicity Butler,157002175,Female,2.59,Busch,Mazda,BMCJ3U,10
Felicity Cornish,157002185,Female,2.85,Busch,Toyota,CDAEAY,10
Felicity Duncan,157002192,Female,2.91,Livingston,Chevrolet,DDP5QP,10
Felicity Hardacre,157002193,Female,2.75,Livingston,Honda,ENFYGQ,10
Felicity Johnston,157002199,Female,2.53,Livingston,Mercedes,P8N6R8,10
Felicity Langdon,157002236,Female,2.64,College Avenue,Honda,CKDGK3,10
Felicity MacDonald,157002239,Female,2.51,Livingston,Honda,1H45WZ,10
Felicity MacLeod,157002249,Female,2.74,Busch,Toyota,8AZKKK,10
Felicity McLean,157002268,Female,2.66,College Avenue,Ford,EL2E0U,10
Felicity Newman,157002277,Female,2.64,Livingston,Toyota,FJD9MS,10
Felicity Paterson,157002285,Female,2.7,Busch,Volvo,SNBMGB,10
Felicity Quinn,157002305,Female,2.95,Douglass,Hyundai,QB9KIN,10
Felicity Underwood,157002319,Female,2.91,Busch,Hyundai,P1X6DS,10
Fiona Bond,157002323,Female,2.96,Busch,Mazda,2LUSUR,10
Fiona Carr,157002330,Female,2.64,Livingston,Toyota,9GXVVM,10
Fiona Clarkson,157002353,Female,2.82,Busch,Ford,XOR95C,10
Fiona Edmunds,157002363,Female,2.81,Cook,Chevrolet,24WU46,10
Fiona Gray,157002373,Female,2.62,Busch,Honda,HR0BB4,10
Fiona Hunter,157002388,Female,2.86,Cook,Toyota,I8AQIJ,10
Fiona Mackay,157002391,Female,2.97,Busch,Ford,D6U43O,10
Fiona Martin,157002419,Female,2.79,Douglass,Toyota,AOSFBH,10
Fiona McGrath,157002432,Female,2.92,Busch,Volvo,H8PQW9,10
Fiona Taylor,157002433,Female,2.55,College Avenue,Toyota,5D7TFM,10
Fiona Walker,157002445,Female,2.62,Busch,Chevrolet,OYF6UE,10
Frank Abraham,157002454,Male,2.55,Cook,Hyundai,Z2JELE,10
Frank Cameron,157002463,Male,2.64,Livingston,Honda,DWLV49,10
Frank Hill,157002465,Male,2.8,Livingston,Audi,9H1DB1,10
Frank Langdon,157002480,Male,2.67,Cook,Volvo,DSHJUP,10
Frank Marshall,157002481,Male,2.65,Busch,Toyota,TKWGNH,10
Frank Martin,157002498,Male,2.78,Busch,Honda,OONBKW,10
Frank Morrison,157002499,Male,2.83,Busch,Subaru,RYQHE9,10
Frank Pullman,157002501,Male,2.51,Livingston,Ford,8UPKIF,10
Frank Short,157002511,Male,2.53,Douglass,Ford,Y2W6KM,10
Gabrielle Avery,157002523,Female,2.71,Cook,Hyundai,F724D8,10
Gabrielle Chapman,157002524,Female,2.72,College Avenue,Honda,RWPNFW,10
Gabrielle Hodges,157002525,Female,2.54,Busch,Ford,XKMGOA,10
Gabrielle Mackay,157002528,Female,2.61,Busch,Ford,0O4HY5,10
Gabrielle MacLeod,157002545,Female,2.69,College Avenue,Honda,W64S0C,10
Gabrielle Slater,157002548,Female,2.95,Livingston,Volvo,S0I8L3,10
Gavin Brown,157002561,Male,2.85,Livingston,Ford,D0MH1C,10
Gavin Buckland,157002579,Male,2.92,Busch,Audi,JDLD24,10
Gavin Campbell,157002590,Male,2.75,Busch,BMW,HR3OGN,10
Gavin Ellison,157002594,Male,2.83,Douglass,Hyundai,GYRIS0,10
Gavin Greene,157002610,Male,2.72,Busch,BMW,XI4Z6R,10
Gavin Hudson,157002615,Male,2.96,Busch,Hyundai,KSZC9A,10
Gavin Kelly,157002616,Male,2.81,Livingston,Honda,7K7L8G,10
Gavin Lewis,157002622,Male,2.62,Busch,Hyundai,AAMXVC,10
Gavin Oliver,157002633,Male,2.59,Busch,Audi,H7ODR8,10
Gavin Peake,157002645,Male,2.72,Busch,BMW,ADRNA9,10
Gavin Piper,157002660,Male,2.58,Busch,Mazda,9WY0FM,10
Gavin Springer,157002669,Male,2.58,Cook,Chevrolet,BK9O08,10
Gavin Underwood,157002671,Male,2.51,Busch,Chevrolet,B5VXZQ,10
Gavin White,157002674,Male,2.51,Busch,Honda,FKYAUR,10
Gordon Arnold,157002692,Male,2.58,Busch,Audi,BUXOJG,10
Gordon Ball,157002696,Male,2.99,College Avenue,Toyota,VJ9BRU,10
Gordon Duncan,157002704,Male,2.55,Busch,Ford,2KP49Q,10
Gordon Hemmings,157002716,Male,2.63,Busch,Honda,4VOVDF,10
Gordon Hodges,157002730,Male,2.52,Busch,Audi,JKPO7S,10
